Name:,Date:,Start Time:,End Time:,Temperature Range (ºF):,Time of Day:,Time Stamp:,Pecking (m),Pecking (f),Dabbling (m),Dabbling (f),Dipping (m),Dipping (f),Upending (m),Upending (f),Visitor Interaction (Y/N),Notes:
Peter Zhang,3/4/23,1:00 PM,1:50 PM,70-72,afternoon,0:40,0,0,0,0,0,1,0,0,N,Feeding stopped. 17 females and 29 males
Peter Zhang,3/4/23,1:00 PM,1:50 PM,70-72,afternoon,0:50,0,0,0,0,0,1,0,0,N,"Almost every duck flew away at this time for some reason; After this scan, only 3 ducks were still in the lake. 30 female and 40 male."
Peter Zhang,3/5/2023,2:18 PM,3:18 PM,77-78,afternoon,0:00,0,0,0,0,2,0,0,0,N,Many ducks were asleep. 2 males.
Peter Zhang,3/5/2023,2:18 PM,3:18 PM,77-78,afternoon,0:10,0,0,1,0,0,0,0,0,N,36 males and 36 females.
Peter Zhang,3/5/2023,2:18 PM,3:18 PM,77-78,afternoon,0:20,0,0,1,0,1,0,0,0,N,Human feeding occurred around 5 minutes before my scan. 53 males and 38 females
Peter Zhang,3/5/2023,2:18 PM,3:18 PM,77-78,afternoon,0:30,0,0,2,2,0,0,4,2,N,I decided to move to an area of the lake where they were not sleeping. This corner of the park had a group of females and males that appeared to be breeding pairs. 6 males and 5 females.
Peter Zhang,3/5/2023,2:18 PM,3:18 PM,77-78,afternoon,0:40,0,0,1,1,1,1,4,2,N,6 males and 5 females
Peter Zhang,3/5/2023,2:18 PM,3:18 PM,77-78,afternoon,0:50,0,1,0,0,0,3,4,1,N,6 males and 5 females
Peter Zhang,3/5/2023,2:18 PM,3:18 PM,77-78,afternoon,1:00,0,0,4,1,7,4,1,,Y,I moved back to the bigger group. There was a person feeding them. 42 females and 50 males.
Kim Luong,3/7/23,10:45 AM,11:45 AM,70-75,morning,0:00,0,0,1,0,0,0,2,1,N,There were very few people at the lake.
Kim Luong,3/7/23,10:45 AM,11:45 AM,70-75,morning,0:10,0,0,7,2,2,0,0,0,Y,
Kim Luong,3/7/23,10:45 AM,11:45 AM,70-75,morning,0:20,0,0,11,2,0,0,0,0,Y,
Kim Luong,3/7/23,10:45 AM,11:45 AM,70-75,morning,0:30,0,0,10,1,0,0,0,0,Y,
Kim Luong,3/7/23,10:45 AM,11:45 AM,70-75,morning,0:40,0,0,0,0,4,2,1,1,N,
Kim Luong,3/7/23,10:45 AM,11:45 AM,70-75,morning,0:50,0,0,1,1,0,0,0,0,N,
Kim Luong,3/7/23,10:45 AM,11:45 AM,70-75,morning,1:00,0,0,0,1,2,0,0,1,N,
Kim Luong,3/7/23,12:30 PM,1:30 PM,74-77,afternoon,0:00,0,0,1,2,0,0,0,0,N,More people were at the lake compared to the morning time.
Kim Luong,3/7/23,12:30 PM,1:30 PM,74-77,afternoon,0:10,0,0,0,0,2,1,1,0,Y,
Kim Luong,3/7/23,12:30 PM,1:30 PM,74-77,afternoon,0:20,0,0,5,3,1,1,0,0,Y,
Kim Luong,3/7/23,12:30 PM,1:30 PM,74-77,afternoon,0:30,2,1,4,3,0,1,0,0,Y,
Kim Luong,3/7/23,12:30 PM,1:30 PM,74-77,afternoon,0:40,0,0,2,2,0,0,0,1,N,
Kim Luong,3/7/23,12:30 PM,1:30 PM,74-77,afternoon,0:50,0,0,0,0,0,0,0,0,Y,
Kim Luong,3/7/23,12:30 PM,1:30 PM,74-77,afternoon,1:00,0,0,0,0,0,0,0,0,N,
Sergio Carran,3/6/23,12:55 PM,1:55 PM,83-84,afternoon,0:00,0,0,3,4,3,4,0,0,N,"about 36 shovelers, 18 male and 18 female"
Sergio Carran,3/6/23,12:55 PM,1:55 PM,83-84,afternoon,0:10,0,0,2,2,2,1,1,1,N,sunny warm climate outside 
Sergio Carran,3/6/23,12:55 PM,1:55 PM,83-84,afternoon,0:20,0,0,5,3,1,3,3,1,Y,
Sergio Carran,3/6/23,12:55 PM,1:55 PM,83-84,afternoon,0:30,2,2,4,2,3,2,3,3,N,
Sergio Carran,3/6/23,12:55 PM,1:55 PM,83-84,afternoon,0:40,3,1,2,4,2,2,2,2,Y,
Sergio Carran,3/6/23,12:55 PM,1:55 PM,83-84,afternoon,0:50,2,3,8,1,2,3,1,0,Y,
Sergio Carran,3/6/23,12:55 PM,1:55 PM,83-84,afternoon,1:00,1,2,5,3,2,4,0,3,Y,
Sergio Carran,3/6/23,4:00 PM,5:00 PM,81-82,evening,0:00,0,2,3,2,3,1,0,0,Y,"about 30 shovelers, 15 male and 15 female "
Sergio Carran,3/6/23,4:00 PM,5:00 PM,81-82,evening,0:10,0,3,4,1,2,3,0,0,N,"warm, sunny weather "
Sergio Carran,3/6/23,4:00 PM,5:00 PM,81-82,evening,0:20,0,1,2,3,3,1,2,1,Y,
Sergio Carran,3/6/23,4:00 PM,5:00 PM,81-82,evening,0:30,0,0,2,3,4,2,3,2,Y,
Sergio Carran,3/6/23,4:00 PM,5:00 PM,81-82,evening,0:40,0,2,3,2,6,4,1,2,Y,
Sergio Carran,3/6/23,4:00 PM,5:00 PM,81-82,evening,0:50,2,1,4,0,8,2,4,0,N,
Sergio Carran,3/6/23,4:00 PM,5:00 PM,81-82,evening,1:00,1,2,1,3,7,3,0,0,N,about 28 shovelers where 14 were male and 14 were female 
Sergio Carran,3/6/23,5:00 PM,6:00 PM,78-79,evening,0:00,0,0,8,5,3,4,0,3,Y,"cloudy, cool weather "
Sergio Carran,3/6/23,5:00 PM,6:00 PM,78-79,evening,0:10,2,0,3,6,8,5,0,2,Y,
Sergio Carran,3/6/23,5:00 PM,6:00 PM,78-79,evening,0:20,1,2,2,4,6,6,0,1,N,
Sergio Carran,3/6/23,5:00 PM,6:00 PM,78-79,evening,0:30,4,1,5,7,4,3,2,0,N,
Sergio Carran,3/6/23,5:00 PM,6:00 PM,78-79,evening,0:40,2,1,2,8,7,2,3,2,N,
Sergio Carran,3/6/23,5:00 PM,6:00 PM,78-79,evening,0:50,1,0,2,2,3,3,4,2,Y,
Sergio Carran,3/6/23,5:00 PM,6:00 PM,78-79,evening,1:00,1,0,4,5,1,1,1,2,Y,
