Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Hypertension,0.7838,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Hypertension,0.5458,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Hypertension,0.6689,,,,
State,Alabama,01,65+,Sex,Female,Hypertension,0.7061,,,,
State,Alabama,01,<65,Sex,Female,Hypertension,0.5479,,,,
State,Alabama,01,All,Sex,Female,Hypertension,0.6756,,,,
State,Alabama,01,65+,Sex,Male,Hypertension,0.6777,,,,
State,Alabama,01,<65,Sex,Male,Hypertension,0.4818,,,,
State,Alabama,01,All,Sex,Male,Hypertension,0.6305,,,,
State,Alabama,01,All,All,All,Ischemic Heart Disease,0.2977,19260.6688,17636.4011,0.2057,1181.5682
State,Alabama,01,65+,Dual Status,Medicare Only,Ischemic Heart Disease,0.3215,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Ischemic Heart Disease,0.1813,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Ischemic Heart Disease,0.3013,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Ischemic Heart Disease,0.3793,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Ischemic Heart Disease,0.182,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Ischemic Heart Disease,0.284,,,,
State,Alabama,01,65+,Sex,Female,Ischemic Heart Disease,0.2696,,,,
State,Alabama,01,<65,Sex,Female,Ischemic Heart Disease,0.1676,,,,
State,Alabama,01,All,Sex,Female,Ischemic Heart Disease,0.2499,,,,
State,Alabama,01,65+,Sex,Male,Ischemic Heart Disease,0.4067,,,,
State,Alabama,01,<65,Sex,Male,Ischemic Heart Disease,0.1952,,,,
State,Alabama,01,All,Sex,Male,Ischemic Heart Disease,0.3558,,,,
State,Alabama,01,All,All,All,Osteoporosis,0.0612,17964.7776,16361.1251,0.1722,967.3446
State,Alabama,01,65+,Dual Status,Medicare Only,Osteoporosis,0.0716,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Osteoporosis,0.0199,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Osteoporosis,0.0642,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Osteoporosis,0.0782,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Osteoporosis,0.0199,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Osteoporosis,0.0501,,,,
State,Alabama,01,65+,Sex,Female,Osteoporosis,0.1186,,,,
State,Alabama,01,<65,Sex,Female,Osteoporosis,0.0346,,,,
State,Alabama,01,All,Sex,Female,Osteoporosis,0.1024,,,,
State,Alabama,01,65+,Sex,Male,Osteoporosis,0.0129,,,,
State,Alabama,01,<65,Sex,Male,Osteoporosis,0.0056,,,,
State,Alabama,01,All,Sex,Male,Osteoporosis,0.0111,,,,
State,Alabama,01,All,All,All,Schizophrenia and Other Psychotic Disorders,0.0314,21838.7072,19732.5561,0.2333,1884.0861
State,Alabama,01,65+,Dual Status,Medicare Only,Schizophrenia and Other Psychotic Disorders,0.0105,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Schizophrenia and Other Psychotic Disorders,0.0412,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Schizophrenia and Other Psychotic Disorders,0.0149,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Schizophrenia and Other Psychotic Disorders,0.0698,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Schizophrenia and Other Psychotic Disorders,0.1192,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Schizophrenia and Other Psychotic Disorders,0.0936,,,,
State,Alabama,01,65+,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0215,,,,
State,Alabama,01,<65,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0696,,,,
State,Alabama,01,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0308,,,,
State,Alabama,01,65+,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.015,,,,
State,Alabama,01,<65,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0861,,,,
State,Alabama,01,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0321,,,,
State,Alabama,01,All,All,All,Stroke,0.0421,31273.8152,28654.3977,0.2125,1893.7149
State,Alabama,01,65+,Dual Status,Medicare Only,Stroke,0.0416,,,,
State,Alabama,01,<65,Dual Status,Medicare Only,Stroke,0.0259,,,,
State,Alabama,01,All,Dual Status,Medicare Only,Stroke,0.0394,,,,
State,Alabama,01,65+,Dual Status,Medicare and Medicaid,Stroke,0.0706,,,,
State,Alabama,01,<65,Dual Status,Medicare and Medicaid,Stroke,0.0326,,,,
State,Alabama,01,All,Dual Status,Medicare and Medicaid,Stroke,0.0523,,,,
State,Alabama,01,65+,Sex,Female,Stroke,0.0452,,,,
State,Alabama,01,<65,Sex,Female,Stroke,0.0301,,,,
State,Alabama,01,All,Sex,Female,Stroke,0.0423,,,,
State,Alabama,01,65+,Sex,Male,Stroke,0.0462,,,,
